REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
86 176.725 409.024 33.4711 409.024 176.725 0.747549 0.047 1.0476974 0.8214286 0.3496732 0.142 0.8453039 0.047 0.4401914 0.054 0.2915702 0.1464088 0.1104972 0.047 0.4717554
87 176.336 409.024 33.4711 409.024 176.336 0.760475 0.065 1.0654007 0.7678571 0.2614379 0.159 0.8480663 0.065 0.4804469 0.065 0.340167 0.1850829 0.0718232 0.065 0.5064192
88 172.753 409.024 33.4711 409.024 172.753 0.76196312 0.055 1.04829805 0.80357143 0.32679739 0.124 0.8480663 0.058 0.4516129 0.068 0.30353306 0.06353591 0.14917127 0.055 0.47677404
89 173.685 409.024 33.4711 409.024 173.685 0.75898693 0.047 1.06207665 0.89285714 0.4248366 0.141 0.84530387 0.058 0.46315789 0.058 0.31332292 0.21546961 0.06629834 0.058 0.49159664
90 173.442 409.024 33.4711 409.024 173.442 0.77879902 0.071 1.04641252 0.71428571 0.23529412 0.099 0.8480663 0.074 0.47741935 0.078 0.34967866 0.05801105 0.13812155 0.071 0.4789916
91 174.889 409.024 33.4711 409.024 174.889 0.75355976 0.047 1.07038199 0.82142857 0.31372549 0.146 0.84530387 0.047 0.46464646 0.047 0.31198451 0.23756906 0.05524862 0.047 0.50770308
92 173.354 409.024 33.4711 409.024 173.354 0.7537056 0.055 1.0432865 0.8571429 0.4052288 0.154 0.8480663 0.061 0.4343434 0.061 0.2730402 0.2375691 0.0718232 0.058 0.4586835
93 174.001 409.024 33.4711 409.024 174.001 0.74766573 0.052 1.02969917 0.82142857 0.37908497 0.158 0.8480663 0.059 0.43850267 0.059 0.28312776 0.20718232 0.08287293 0.052 0.4423436
94 174.904 409.024 33.4711 409.024 174.904 0.7705999 0.057 1.081881 0.8571429 0.3398693 0.154 0.8453039 0.074 0.4736842 0.074 0.3458619 0.1104972 0.1104972 0.057 0.5172736
95 177.214 409.024 33.4711 409.024 177.214 0.75070028 0.066 1.05622764 0.78571429 0.29411765 0.122 0.84530387 0.066 0.46315789 0.066 0.31332292 0.21546961 0.06629834 0.066 0.49159664
96 173.353 409.024 33.4711 409.024 173.353 0.754085 0.05 1.0597573 0.8392857 0.3529412 0.149 0.8453039 0.055 0.4502618 0.055 0.2963978 0.218232 0.0718232 0.05 0.4863445
97 174.928 409.024 33.4711 409.024 174.928 0.7645892 0.064 1.0540464 0.7857143 0.2973856 0.154 0.8453039 0.065 0.4648649 0.065 0.3176574 0.2016575 0.0718232 0.064 0.4883287
98 173.74 409.024 33.4711 409.024 173.74 0.75446429 0.057 1.06313321 0.80357143 0.30392157 0.141 0.8480663 0.058 0.46808511 0.058 0.32046854 0.20994475 0.06629834 0.057 0.49964986
99 174.071 409.024 33.4711 409.024 174.071 0.7600957 0.046 1.06721688 0.78571429 0.27777778 0.132 0.84530387 0.046 0.47567568 0.046 0.33144206 0.20165746 0.06629834 0.046 0.50793651
100 175.773 409.024 33.4711 409.024 175.773 0.75904528 0.064 1.04927919 0.73214286 0.24836601 0.136 0.8480663 0.064 0.47398844 0.064 0.33480069 0.16850829 0.08287293 0.064 0.48377684
